C, n_iter,log(C),Mean,Error 
10000.0, 150.0, 4.0, 0.90565, 0.002508949033644692
5000.0, 150.0, 3.6989700043360187, 0.90525, 0.0021837619492921173
500.0, 150.0, 2.6989700043360187, 0.905, 0.0022402943071017055
1000.0, 150.0, 3.0, 0.90495, 0.0021704598927761265
100.0, 150.0, 2.0, 0.90385, 0.002016562800271572
50.0, 150.0, 1.6989700043360187, 0.90325, 0.0027260574541575844
10.0, 150.0, 1.0, 0.9016, 0.0028074417191661224
5.0, 150.0, 0.6989700043360189, 0.8999, 0.0023151477044525428
1.0, 150.0, 0.0, 0.89035, 0.0033960312501371275
0.1, 150.0, -1.0, 0.86595, 0.004768486868090765
0.01, 150.0, -2.0, 0.85295, 0.004899966797079349
0.001, 150.0, -3.0, 0.6482, 0.0071556158435955
